Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
right	Eng	O	61.96	14.85	-2.38	59.58
away	Eng	O	45.92	19.35	-0.8	45.120000000000005
le	Spn	O	24.53	39.88	-2.38	37.5
noté	Spn	O	9.18	27.11	-1.01	26.099999999999998
un	Spn	O	21.77	40.51	-1.01	39.5
acentito	Spn	O	22.89	45.03	-1.01	44.02
"	Punct	O	N/A	N/A	N/A	N/A
not	Eng	O	48.64	20.26	-2.38	46.26
too	Eng	O	46.65	16.45	-0.8	45.85
specfic	Eng	O	24.99	-0.16	-0.8	24.189999999999998
"	Punct	O	N/A	N/A	N/A	N/A
I	Eng	O/MISC	42.31	11.38	-0.8	41.510000000000005
mean	Eng	O/MISC	52.3	29.01	-0.8	51.5
"	Punct	O	N/A	N/A	N/A	N/A
OB	Eng	ORGANIZATION/O	13.81	6.93	-0.8	13.01
-	Punct	O	N/A	N/A	N/A	N/A
vio	Spn	O	19.35	35.88	-2.38	33.5
no	Spn	O	39.04	44.89	-1.01	43.88
era	Spn	O	20.63	43.25	-1.01	42.24
ni	Spn	O	16.53	32.18	-1.01	31.169999999999998
cordobés	Spn	O	13.39	25.8	-1.01	24.79
ni	Spn	O	16.53	32.18	-1.01	31.169999999999998
santiagueño	Spn	O	2.97	32.03	-1.01	31.02
ni	Spn	O	16.53	32.18	-1.01	31.169999999999998
del	Spn	O	26.4	45.85	-1.01	44.84
Chaco	Spn	O/ORGANIZATION	23.78	30.73	-1.01	29.72
ni	Spn	O	16.53	32.18	-1.01	31.169999999999998
de	Spn	O	26.21	47.06	-1.01	46.050000000000004
Catamarca	Spn	LOCATION/LOCATION	15.21	28.47	-1.01	27.459999999999997
ni	Spn	O	16.53	32.18	-1.01	31.169999999999998
de	Spn	O	26.21	47.06	-1.01	46.050000000000004
Misiones	Spn	O/ORGANIZATION	38.19	55.37	-1.01	54.36
or	Eng	O/ORGANIZATION	41.56	23.53	-2.38	39.18
Tucumán	Spn	O/ORGANIZATION	7.55	16.48	-2.38	14.100000000000001
or	Eng	O	41.56	23.53	-2.38	39.18
any	Eng	O	46.02	17.76	-0.8	45.220000000000006
of	Eng	O	45.37	12.91	-0.8	44.57
the	Eng	O	60.83	27.05	-0.8	60.03
other	Eng	O	57.25	23.13	-0.8	56.45
acentos	Spn	O	14.05	46.29	-2.38	43.91
del	Spn	O	26.4	45.85	-1.01	44.84
so	Eng	O	43.57	28.06	-2.38	41.19
-	Punct	O	N/A	N/A	N/A	N/A
called	Eng	O	54.46	32.36	-0.8	53.660000000000004
“	Punct	O	N/A	N/A	N/A	N/A
interior	Eng	O	52.86	46.85	-0.8	52.06
”	Punct	O	N/A	N/A	N/A	N/A
(	Punct	O	N/A	N/A	N/A	N/A
máh	Spn	O	6.69	9.32	-2.38	6.94
bien	Spn	O	22.54	48.79	-1.01	47.78
INFERIOR	Spn	O	37.54	39.47	-1.01	38.46
"	Punct	O	N/A	N/A	N/A	N/A
the	Eng	O	60.83	27.05	-2.38	58.449999999999996
way	Eng	O	46.27	15.37	-0.8	45.470000000000006
the	Eng	O	60.83	27.05	-0.8	60.03
porteños	Spn	O	18.76	41.85	-2.38	39.47
talk	Eng	O	43.44	15.28	-2.38	41.059999999999995
about	Eng	O	62.63	15.69	-0.8	61.830000000000005
the	Eng	O	60.83	27.05	-0.8	60.03
rest	Eng	O	46.28	19.73	-0.8	45.480000000000004
of	Eng	O	45.37	12.91	-0.8	44.57
the	Eng	O	60.83	27.05	-0.8	60.03
country	Eng	O	59.43	17.3	-0.8	58.63
.	Punct	O	N/A	N/A	N/A	N/A
.	Punct	O	N/A	N/A	N/A	N/A
.	Punct	O	N/A	N/A	N/A	N/A
)	Punct	O	N/A	N/A	N/A	N/A
.	Punct	O	N/A	N/A	N/A	N/A
I	Eng	O	42.31	11.38	-0.8	41.510000000000005
’	Punct	O	N/A	N/A	N/A	N/A
ve	Eng	O	41.64	33.49	-0.8	40.84
learned	Eng	O	53.05	14.4	-0.8	52.25
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
recognize	Eng	O	46.93	17.17	-0.8	46.13
so	Eng	O	43.57	28.06	-0.8	42.77
many	Eng	O	46.88	24.27	-0.8	46.080000000000005
of	Eng	O	45.37	12.91	-0.8	44.57
them	Eng	O	58.74	12.49	-0.8	57.940000000000005
.	Punct	O	N/A	N/A	N/A	N/A
Tan	Spn	O	29.86	41.15	-2.38	38.769999999999996
diferentes	Spn	O	38.33	62.31	-1.01	61.300000000000004
"	Punct	O	N/A	N/A	N/A	N/A
todos	Spn	O	25.81	56.77	-1.01	55.760000000000005
"	Punct	O	N/A	N/A	N/A	N/A
del	Spn	O	26.4	45.85	-1.01	44.84
Italianate	Eng	O/ORGANIZATION	35.85	31.9	-2.38	33.47
porteño	Spn	O	15.15	35.01	-2.38	32.629999999999995
whine	Eng	O	42.11	19.49	-2.38	39.73
.	Punct	O	N/A	N/A	N/A	N/A
De	Spn	O	26.21	47.06	-2.38	44.68
esas	Spn	O	22.42	48.12	-1.01	47.11
“	Punct	O	N/A	N/A	N/A	N/A
zh	Eng	O	2.07	-0.89	-2.38	-0.31000000000000005
”	Punct	O	N/A	N/A	N/A	N/A
que	Spn	O	26.46	56.13	-2.38	53.75
ahora	Spn	O	14.92	53.85	-1.01	52.84
a	Spn	O	39.06	38.09	-1.01	37.080000000000005
casi	Spn	O	17.65	37.73	-1.01	36.72
todos	Spn	O	25.81	56.77	-1.01	55.760000000000005
(	Punct	O	N/A	N/A	N/A	N/A
al	Spn	O	23.37	36.72	-1.01	35.71
menos	Spn	O	23.55	52.0	-1.01	50.99
north	Eng	O	45.86	24.51	-2.38	43.48
of	Eng	O	45.37	12.91	-0.8	44.57
Rivadavia	Spn	LOCATION/LOCATION	14.97	20.37	-2.38	17.990000000000002
and	Eng	O	58.08	26.56	-2.38	55.699999999999996
especially	Eng	O	69.95	39.75	-0.8	69.15
northwest	Eng	O/ORGANIZATION	49.56	12.56	-0.8	48.760000000000005
of	Eng	O	45.37	12.91	-0.8	44.57
Santa	Spn	LOCATION/LOCATION	23.36	42.43	-2.38	40.05
Fe	Spn	LOCATION/LOCATION	21.68	25.33	-1.01	24.319999999999997
)	Punct	O	N/A	N/A	N/A	N/A
les	Spn	O	34.52	42.49	-1.01	41.480000000000004
salen	Spn	O	33.03	39.98	-1.01	38.97
“	Punct	O	N/A	N/A	N/A	N/A
sh	Eng	O	23.02	10.6	-2.38	20.64
.	Punct	O	N/A	N/A	N/A	N/A
”	Punct	O	N/A	N/A	N/A	N/A
De	Spn	O	26.21	47.06	-2.38	44.68
esas	Spn	O	22.42	48.12	-1.01	47.11
vocales	Spn	O	29.84	38.9	-1.01	37.89
tan	Spn	O	29.86	41.15	-1.01	40.14
abieeertas	Spn	O	18.33	31.98	-1.01	30.97
y	Spn	O	21.5	34.41	-1.01	33.4
especialmente	Spn	O	36.7	75.93	-1.01	74.92
de	Spn	O	26.21	47.06	-1.01	46.050000000000004
ese	Spn	O	27.34	45.79	-1.01	44.78
tono	Spn	O	26.46	36.27	-1.01	35.260000000000005
"	Punct	O	N/A	N/A	N/A	N/A
tan	Spn	O	29.86	41.15	-1.01	40.14
parriba	Spn	O	15.12	47.1	-1.01	46.09
"	Punct	O	N/A	N/A	N/A	N/A
tan	Spn	O	29.86	41.15	-1.01	40.14
pleading	Eng	O	53.48	15.81	-2.38	51.099999999999994
"	Punct	O	N/A	N/A	N/A	N/A
tan	Spn	O	29.86	41.15	-2.38	38.769999999999996
sobeeerbio	Spn	O	8.62	23.92	-1.01	22.91
.	Punct	O	N/A	N/A	N/A	N/A
No	Spn	O	39.04	44.89	-1.01	43.88
.	Punct	O	N/A	N/A	N/A	N/A
Definitely	Eng	O	65.37	25.84	-2.38	62.99
"	Punct	O	N/A	N/A	N/A	N/A
este	Spn	O	27.28	52.33	-2.38	49.949999999999996
taxista	Spn	O	20.46	36.11	-1.01	35.1
no	Spn	O	39.04	44.89	-1.01	43.88
era	Spn	O	20.63	43.25	-1.01	42.24
porteño	Spn	O	15.15	35.01	-1.01	34.0
.	Punct	O	N/A	N/A	N/A	N/A
¿	Punct	O	N/A	N/A	N/A	N/A
Es	Spn	O	21.58	44.75	-1.01	43.74
Ud	Spn	O	12.54	15.62	-1.01	14.61
.	Punct	O	N/A	N/A	N/A	N/A
entrerriano	Spn	O	20.28	42.32	-1.01	41.31
?	Punct	O	N/A	N/A	N/A	N/A
I	Eng	O	42.31	11.38	-2.38	39.93
tried	Eng	O	49.85	20.32	-0.8	49.050000000000004
.	Punct	O	N/A	N/A	N/A	N/A
De	Spn	ORGANIZATION/O	26.21	47.06	-2.38	44.68
Santa	Spn	ORGANIZATION/LOCATION	23.36	42.43	-1.01	41.42
Fe	Spn	ORGANIZATION/LOCATION	21.68	25.33	-1.01	24.319999999999997
"	Punct	O	N/A	N/A	N/A	N/A
me	Spn	O	41.15	43.0	-1.01	41.99
confirmó	Spn	O	7.23	40.3	-1.01	39.29
.	Punct	O	N/A	N/A	N/A	N/A
What	Eng	O/PERSON	61.03	9.63	-2.38	58.65
an	Eng	O	41.88	24.48	-0.8	41.080000000000005
ear	Eng	O	33.54	22.46	-0.8	32.74
"	Punct	O	N/A	N/A	N/A	N/A
comencé	Spn	O	9.42	33.88	-2.38	31.500000000000004
a	Eng	O	39.06	38.09	-2.38	36.68
congratulate	Eng	O	36.92	34.41	-0.8	36.120000000000005
myself	Eng	O	49.99	2.86	-0.8	49.190000000000005
.	Punct	O	N/A	N/A	N/A	N/A
Heredaste	Spn	O	38.76	44.74	-2.38	42.36
your	Eng	O	56.33	24.2	-2.38	53.949999999999996
daddy	Eng	O	33.59	18.36	-0.8	32.790000000000006
’	Punct	O	N/A	N/A	N/A	N/A
s	Eng	O	40.13	19.22	-0.8	39.330000000000005
ear	Eng	O	33.54	22.46	-0.8	32.74
"	Punct	O	N/A	N/A	N/A	N/A
eso	Spn	O	19.62	46.36	-2.38	43.98
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
él	Spn	O	-2.24	30.46	-1.01	29.45
podía	Spn	O	7.92	45.03	-1.01	44.02
identificar	Spn	O	42.73	48.92	-1.01	47.910000000000004
cualquier	Spn	O	15.96	61.23	-1.01	60.22
acento	Spn	O	26.79	42.99	-1.01	41.980000000000004
regional	Eng	O	47.61	39.7	-2.38	45.23
de	Spn	O	26.21	47.06	-2.38	44.68
Estados	Spn	ORGANIZATION/LOCATION	20.76	63.31	-1.01	62.300000000000004
Unidos	Spn	ORGANIZATION/LOCATION	18.87	46.68	-1.01	45.67
.	Punct	O	N/A	N/A	N/A	N/A
Well	Eng	O/PERSON	57.6	13.82	-2.38	55.22
"	Punct	O	N/A	N/A	N/A	N/A
especially	Eng	O	69.95	39.75	-0.8	69.15
around	Eng	O	60.77	18.39	-0.8	59.970000000000006
the	Eng	O	60.83	27.05	-0.8	60.03
East	Eng	O/ORGANIZATION	42.63	9.11	-0.8	41.830000000000005
Coast	Eng	O/ORGANIZATION	42.81	14.57	-0.8	42.010000000000005
"	Punct	O	N/A	N/A	N/A	N/A
te	Spn	O	25.61	41.33	-2.38	38.949999999999996
lo	Spn	O	19.44	42.92	-1.01	41.910000000000004
juro	Spn	O	24.04	29.43	-1.01	28.419999999999998
"	Punct	O	N/A	N/A	N/A	N/A
within	Eng	O	52.25	7.89	-2.38	49.87
about	Eng	O	62.63	15.69	-0.8	61.830000000000005
a	Eng	O	39.06	38.09	-0.8	38.260000000000005
100	Num	O	N/A	N/A	N/A	N/A
mile	Eng	O	42.26	34.23	-0.8	41.46
radius	Eng	O	26.68	22.39	-0.8	25.88
.	Punct	O	N/A	N/A	N/A	N/A
Pero	Spn	O	24.95	52.4	-2.38	50.019999999999996
entonces	Spn	O	29.55	64.95	-1.01	63.940000000000005
el	Spn	O	19.84	42.02	-1.01	41.010000000000005
taxista	Spn	O	20.46	36.11	-1.01	35.1
se	Spn	O	30.91	42.67	-1.01	41.660000000000004
puso	Spn	O	24.14	38.01	-1.01	37.0
a	Spn	O	39.06	38.09	-1.01	37.080000000000005
preguntarme	Spn	O	21.3	67.08	-1.01	66.07
which	Eng	O	54.48	10.73	-2.38	52.099999999999994
way	Eng	O	46.27	15.37	-0.8	45.470000000000006
I	Eng	O/MISC	42.31	11.38	-0.8	41.510000000000005
wanted	Eng	O/MISC	59.37	14.2	-0.8	58.57
to	Eng	O/MISC	48.13	29.93	-0.8	47.330000000000005
go	Eng	O/MISC	39.77	24.21	-0.8	38.970000000000006
.	Punct	O	N/A	N/A	N/A	N/A
Ay	Spn	O	17.39	29.56	-2.38	27.18
"	Punct	O	N/A	N/A	N/A	N/A
esto	Spn	O	21.84	52.73	-1.01	51.72
me	Spn	O	41.15	43.0	-1.01	41.99
choca	Spn	O	22.88	32.53	-1.01	31.52
!	Punct	O	N/A	N/A	N/A	N/A
Aren	Eng	PERSON/PERSON	46.78	33.74	-2.38	44.4
’	Punct	O	N/A	N/A	N/A	N/A
t	Eng	O	40.21	10.87	-0.8	39.410000000000004
the	Eng	O	60.83	27.05	-0.8	60.03
taxistas	Spn	O	28.81	38.37	-2.38	35.989999999999995
de	Spn	O	26.21	47.06	-1.01	46.050000000000004
una	Spn	O	21.97	46.98	-1.01	45.97
ciudad	Spn	O	20.05	44.01	-1.01	43.0
supposed	Eng	O	63.0	17.91	-2.38	60.62
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
know	Eng	O	60.3	6.12	-0.8	59.5
more	Eng	O	53.89	32.84	-0.8	53.09
than	Eng	O	56.77	25.06	-0.8	55.970000000000006
the	Eng	O	60.83	27.05	-0.8	60.03
pasajeros	Spn	O	15.36	55.04	-2.38	52.66
?	Punct	O	N/A	N/A	N/A	N/A
En	Spn	O	25.45	42.54	-1.01	41.53
New	Eng	LOCATION/LOCATION	37.79	11.23	-2.38	35.41
York	Eng	LOCATION/LOCATION	28.48	11.89	-0.8	27.68
"	Punct	O	N/A	N/A	N/A	N/A
Chicago	Eng	LOCATION/LOCATION	41.27	40.14	-0.8	40.470000000000006
"	Punct	O	N/A	N/A	N/A	N/A
Madrid	Spn	LOCATION/LOCATION	26.77	32.84	-2.38	30.460000000000004
"	Punct	O	N/A	N/A	N/A	N/A
nuncate	Spn	O	24.59	45.43	-1.01	44.42
preguntan	Spn	O	27.08	58.68	-1.01	57.67
¿	Punct	O	N/A	N/A	N/A	N/A
quiere	Spn	O	34.94	63.13	-1.01	62.120000000000005
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
vayamos	Spn	O	11.02	54.27	-1.01	53.260000000000005
por	Spn	O	25.21	47.08	-1.01	46.07
el	Spn	O	19.84	42.02	-1.01	41.010000000000005
Bajo	Spn	O	13.33	39.25	-1.01	38.24
o	Spn	O	22.76	28.33	-1.01	27.319999999999997
por	Spn	O	25.21	47.08	-1.01	46.07
Cabildo	Spn	O/ORGANIZATION	22.79	27.03	-1.01	26.02
?	Punct	O	N/A	N/A	N/A	N/A
And	Eng	O	58.08	26.56	-2.38	55.699999999999996
how	Eng	O	45.28	13.44	-0.8	44.480000000000004
the	Eng	O	60.83	27.05	-0.8	60.03
hell	Eng	O	43.67	19.29	-0.8	42.870000000000005
am	Eng	O	30.77	12.36	-0.8	29.97
I	Eng	O	42.31	11.38	-0.8	41.510000000000005
supposed	Eng	O	63.0	17.91	-0.8	62.2
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
know	Eng	O	60.3	6.12	-0.8	59.5
?	Punct	O	N/A	N/A	N/A	N/A
¿	Punct	O	N/A	N/A	N/A	N/A
Es	Spn	O	21.58	44.75	-2.38	42.37
esta	Spn	O	22.4	52.76	-1.01	51.75
mi	Spn	O	18.08	38.03	-1.01	37.02
ciudad	Spn	O	20.05	44.01	-1.01	43.0
o	Spn	O	22.76	28.33	-1.01	27.319999999999997
qué	Spn	O	-0.63	47.68	-1.01	46.67
?	Punct	O	N/A	N/A	N/A	N/A
With	Eng	O	54.27	4.16	-2.38	51.89
a	Eng	O	39.06	38.09	-0.8	38.260000000000005
jolt	Eng	O	19.13	3.68	-0.8	18.33
"	Punct	O	N/A	N/A	N/A	N/A
me	Spn	O	41.15	43.0	-2.38	40.62
doy	Spn	O	21.08	34.38	-1.01	33.370000000000005
cuenta	Spn	O	12.46	53.51	-1.01	52.5
de	Spn	O	26.21	47.06	-1.01	46.050000000000004
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
yes	Eng	O	47.22	27.23	-2.38	44.839999999999996
.	Punct	O	N/A	N/A	N/A	N/A
Now	Eng	O	47.81	13.39	-0.8	47.010000000000005
"	Punct	O	N/A	N/A	N/A	N/A
it	Eng	O	50.11	11.76	-0.8	49.31
is	Eng	O	44.66	21.08	-0.8	43.86
.	Punct	O	N/A	N/A	N/A	N/A
More	Eng	O/LOCATION	53.89	32.84	-0.8	53.09
than	Eng	O	56.77	25.06	-0.8	55.970000000000006
any	Eng	O	46.02	17.76	-0.8	45.220000000000006
other	Eng	O	57.25	23.13	-0.8	56.45
en	Spn	O	25.45	42.54	-2.38	40.16
el	Spn	O	19.84	42.02	-1.01	41.010000000000005
mundo	Spn	O	23.93	51.86	-1.01	50.85
"	Punct	O	N/A	N/A	N/A	N/A
quizás	Spn	O	11.63	46.5	-1.01	45.49
.	Punct	O	N/A	N/A	N/A	N/A
I	Eng	O	42.31	11.38	-2.38	39.93
can	Eng	O	46.96	33.02	-0.8	46.160000000000004
.	Punct	O	N/A	N/A	N/A	N/A
Le	Spn	O	24.53	39.88	-2.38	37.5
puedo	Spn	O	20.27	54.53	-1.01	53.52
dirigir	Spn	O	18.45	39.17	-1.01	38.160000000000004
y	Spn	O	21.5	34.41	-1.01	33.4
hasta	Spn	O	26.75	52.89	-1.01	51.88
fingir	Spn	O	24.13	28.26	-1.01	27.25
ser	Spn	O	33.36	42.43	-1.01	41.42
de	Spn	O	26.21	47.06	-1.01	46.050000000000004
aquí	Spn	O	-1.09	47.65	-1.01	46.64
si	Spn	O	14.77	35.22	-1.01	34.21
se	Spn	O	30.91	42.67	-1.01	41.660000000000004
me	Spn	O	41.15	43.0	-1.01	41.99
da	Spn	O	19.47	35.42	-1.01	34.410000000000004
la	Spn	O	18.68	44.74	-1.01	43.730000000000004
gana	Spn	O	22.69	39.4	-1.01	38.39
.	Punct	O	N/A	N/A	N/A	N/A
De	Spn	O	26.21	47.06	-1.01	46.050000000000004
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
la	Spn	O	18.68	44.74	-1.01	43.730000000000004
conozco	Spn	O	18.07	55.51	-1.01	54.5
te	Spn	O	25.61	41.33	-1.01	40.32
conohco	Spn	O	18.07	29.96	-1.01	28.95
"	Punct	O	N/A	N/A	N/A	N/A
Buenos	Spn	LOCATION/LOCATION	18.33	55.86	-1.01	54.85
Aires	Spn	LOCATION/LOCATION	33.73	38.14	-1.01	37.13
.	Punct	O	N/A	N/A	N/A	N/A
En	Spn	O	25.45	42.54	-1.01	41.53
tus	Spn	O	24.81	37.48	-1.01	36.47
íntimos	Spn	O	-2.8	34.81	-1.01	33.800000000000004
recovecos	Spn	O	26.81	31.39	-1.01	30.38
"	Punct	O	N/A	N/A	N/A	N/A
tus	Spn	O	24.81	37.48	-1.01	36.47
casas	Spn	O	29.71	47.42	-1.01	46.410000000000004
-	Punct	O	N/A	N/A	N/A	N/A
salchicha	Spn	O	10.86	39.63	-1.01	38.620000000000005
.	Punct	O	N/A	N/A	N/A	N/A
.	Punct	O	N/A	N/A	N/A	N/A
.	Punct	O	N/A	N/A	N/A	N/A
I	Eng	O	42.31	11.38	-2.38	39.93
mean	Eng	O	52.3	29.01	-0.8	51.5
“	Punct	O	N/A	N/A	N/A	N/A
chorizo	Spn	O	17.94	32.93	-2.38	30.55
"	Punct	O	N/A	N/A	N/A	N/A
”	Punct	O	N/A	N/A	N/A	N/A
tus	Spn	O	24.81	37.48	-1.01	36.47
one	Eng	O	49.51	25.47	-2.38	47.129999999999995
-	Punct	O	N/A	N/A	N/A	N/A
way	Eng	O	46.27	15.37	-0.8	45.470000000000006
streets	Eng	O	49.9	13.37	-0.8	49.1
and	Eng	O	58.08	26.56	-0.8	57.28
cortadas	Spn	O	22.99	52.76	-2.38	50.379999999999995
and	Eng	O	58.08	26.56	-2.38	55.699999999999996
pasajes	Spn	O	21.28	47.33	-2.38	44.949999999999996
and	Eng	O	58.08	26.56	-2.38	55.699999999999996
Juan	Eng	O/PERSON	22.9	23.32	-0.8	22.099999999999998
B	Eng	O/PERSON	10.36	4.91	-0.8	9.559999999999999
.	Punct	O	N/A	N/A	N/A	N/A
Juhto	Eng	O	19.96	15.99	-0.8	19.16
and	Eng	O	58.08	26.56	-0.8	57.28
Hospital	Eng	LOCATION/LOCATION	48.57	46.18	-0.8	47.77
Rivadavia	Spn	LOCATION/LOCATION	14.97	20.37	-2.38	17.990000000000002
and	Eng	O	58.08	26.56	-2.38	55.699999999999996
Hospital	Eng	O/LOCATION	48.57	46.18	-0.8	47.77
Fernández	Spn	O/LOCATION	3.93	24.75	-2.38	22.37
y	Spn	O	21.5	34.41	-1.01	33.4
Librería	Spn	ORGANIZATION/ORGANIZATION	11.4	44.51	-1.01	43.5
Norte	Spn	ORGANIZATION/ORGANIZATION	30.14	44.07	-1.01	43.06
y	Spn	O	21.5	34.41	-1.01	33.4
Sandro	Spn	PERSON/PERSON	19.78	32.79	-1.01	31.779999999999998
and	Eng	O	58.08	26.56	-2.38	55.699999999999996
the	Eng	O	60.83	27.05	-0.8	60.03
video	Eng	O	31.71	26.45	-0.8	30.91
stores	Eng	O	48.25	36.45	-0.8	47.45
y	Spn	O	21.5	34.41	-2.38	32.029999999999994
Mundo	Spn	ORGANIZATION/MISC	23.93	51.86	-1.01	50.85
del	Spn	ORGANIZATION/MISC	26.4	45.85	-1.01	44.84
Juguete	Spn	ORGANIZATION/MISC	21.76	40.42	-1.01	39.410000000000004
y	Spn	O	21.5	34.41	-1.01	33.4
Hooker	Eng	O/PERSON	36.44	19.47	-2.38	34.059999999999995
(	Punct	O	N/A	N/A	N/A	N/A
not	Eng	O	48.64	20.26	-0.8	47.84
what	Eng	O	61.03	9.63	-0.8	60.230000000000004
you	Eng	O	56.67	25.36	-0.8	55.870000000000005
think	Eng	O	65.69	9.38	-0.8	64.89
!	Punct	O	N/A	N/A	N/A	N/A
)	Punct	O	N/A	N/A	N/A	N/A
and	Eng	O	58.08	26.56	-0.8	57.28
Empanadas	Spn	PERSON/PERSON	23.62	44.19	-2.38	41.809999999999995
Güimpi	Spn	PERSON/PERSON	2.98	7.18	-1.01	6.17
and	Eng	O	58.08	26.56	-2.38	55.699999999999996
el	Spn	O	19.84	42.02	-2.38	39.64
Cerdo	Spn	PERSON/ORGANIZATION	23.42	42.47	-1.01	41.46
Ecológico	Spn	PERSON/ORGANIZATION	14.32	35.34	-1.01	34.330000000000005
and	Eng	O	58.08	26.56	-2.38	55.699999999999996
all	Eng	O	47.74	25.64	-0.8	46.940000000000005
the	Eng	O	60.83	27.05	-0.8	60.03
kiohkos	Eng	O	12.15	7.61	-0.8	11.35
y	Spn	O	21.5	34.41	-2.38	32.029999999999994
mi	Spn	O	18.08	38.03	-1.01	37.02
kiohkero	Spn	O	12.97	14.28	-1.01	13.27
that	Eng	O	68.72	14.42	-2.38	66.34
dyes	Eng	O	25.41	20.07	-0.8	24.61
his	Eng	O	44.36	27.21	-0.8	43.56
hair	Eng	O	37.97	21.93	-0.8	37.17
ash	Eng	O	29.75	14.13	-0.8	28.95
blonde	Spn	O	28.07	29.91	-2.38	27.53
y	Spn	O	21.5	34.41	-1.01	33.4
la	Spn	O	18.68	44.74	-1.01	43.730000000000004
mujer	Spn	O	19.33	48.1	-1.01	47.09
mayor	Spn	O	36.31	40.87	-1.01	39.86
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
a	Spn	O	39.06	38.09	-1.01	37.080000000000005
veces	Spn	O	29.27	49.06	-1.01	48.050000000000004
atiende	Spn	O	19.72	46.77	-1.01	45.760000000000005
instead	Eng	O	54.64	19.76	-2.38	52.26
of	Eng	O	45.37	12.91	-0.8	44.57
him	Eng	O	39.42	13.41	-0.8	38.620000000000005
"	Punct	O	N/A	N/A	N/A	N/A
right	Eng	O/MISC	61.96	14.85	-0.8	61.160000000000004
across	Eng	O/MISC	46.5	18.29	-0.8	45.7
from	Eng	O/MISC	48.14	12.52	-0.8	47.34
Farmacia	Spn	LOCATION/MISC	20.88	33.17	-2.38	30.790000000000003
del	Spn	LOCATION/MISC	26.4	45.85	-1.01	44.84
Botánico	Spn	LOCATION/MISC	19.39	37.28	-1.01	36.27
en	Spn	LOCATION/O	25.45	42.54	-1.01	41.53
la	Spn	LOCATION/O	18.68	44.74	-1.01	43.730000000000004
Avenida	Spn	LOCATION/LOCATION	15.98	40.86	-1.01	39.85
Las	Spn	LOCATION/LOCATION	34.62	47.63	-1.01	46.620000000000005
Heras	Spn	LOCATION/LOCATION	33.08	38.71	-1.01	37.7
.	Punct	O	N/A	N/A	N/A	N/A
Esa	Spn	O	13.84	44.15	-1.01	43.14
mujer	Spn	O	19.33	48.1	-1.01	47.09
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
era	Spn	O	20.63	43.25	-1.01	42.24
tan	Spn	O	29.86	41.15	-1.01	40.14
y	Spn	O	21.5	34.41	-1.01	33.4
tan	Spn	O	29.86	41.15	-1.01	40.14
sweet	Eng	O	37.03	9.39	-2.38	34.65
con	Spn	O	33.09	47.17	-2.38	44.79
Pablo	Spn	PERSON/PERSON	13.49	33.08	-1.01	32.07
Zambrano	Spn	PERSON/PERSON	4.4	24.49	-1.01	23.479999999999997
in	Eng	O	45.41	25.29	-2.38	43.029999999999994
those	Eng	O	61.75	22.81	-0.8	60.95
hellishly	Eng	O	30.56	7.4	-0.8	29.759999999999998
humid	Eng	O	41.11	18.94	-0.8	40.31
February	Eng	O	30.73	12.28	-0.8	29.93
days	Eng	O	44.13	16.34	-0.8	43.330000000000005
when	Eng	O	56.49	15.56	-0.8	55.690000000000005
he	Eng	O	44.49	34.18	-0.8	43.690000000000005
was	Eng	O	51.72	16.52	-0.8	50.92
here	Eng	O	56.63	37.45	-0.8	55.830000000000005
.	Punct	O	N/A	N/A	N/A	N/A
Parece	Spn	O	32.27	54.66	-2.38	52.279999999999994
hace	Spn	O	31.01	47.7	-1.01	46.690000000000005
una	Spn	O	21.97	46.98	-1.01	45.97
eternidad	Spn	O	14.17	41.13	-1.01	40.120000000000005
"	Punct	O	N/A	N/A	N/A	N/A
in	Eng	O	45.41	25.29	-2.38	43.029999999999994
this	Eng	O	59.86	22.07	-0.8	59.06
biting	Eng	O/MISC	46.64	11.12	-0.8	45.84
July	Eng	O/MISC	25.31	13.62	-0.8	24.509999999999998
cold	Eng	O/MISC	43.93	21.07	-0.8	43.13
.	Punct	O	N/A	N/A	N/A	N/A
Pero	Spn	O	24.95	52.4	-2.38	50.019999999999996
luego	Spn	O	17.45	48.66	-1.01	47.65
la	Spn	O	18.68	44.74	-1.01	43.730000000000004
ehcuchamos	Spn	O	1.64	40.05	-1.01	39.04
un	Spn	O	21.77	40.51	-1.01	39.5
día	Spn	O	5.52	41.6	-1.01	40.59
